  run  | cfg | numfile |           start            |            stop            |    runlength    
-------+-----+---------+----------------------------+----------------------------+-----------------
 11543 | 558 |       1 | 2017-05-30 11:36:57.452614 |                            | 
 11542 | 558 |       1 |                            |                            | 
 11541 | 558 |       1 |                            |                            | 
 11540 | 558 |       1 | 2017-05-30 09:21:09.036137 | 2017-05-30 11:23:07.205301 | 02:01:58.169164
 11539 | 558 |       1 | 2017-05-30 07:45:06.455344 | 2017-05-30 09:17:58.275992 | 01:32:51.820648
 11538 | 558 |       1 | 2017-05-30 07:08:58.775196 | 2017-05-30 07:41:36.131094 | 00:32:37.355898
 11537 | 558 |       1 | 2017-05-30 00:05:35.036582 | 2017-05-30 07:05:48.120731 | 07:00:13.084149
 11536 | 558 |       1 |                            |                            | 
 11535 | 558 |       1 | 2017-05-29 21:33:40.336698 | 2017-05-29 23:59:57.177643 | 02:26:16.840945
 11534 | 558 |       1 | 2017-05-29 21:29:15.542386 | 2017-05-29 21:30:03.022233 | 00:00:47.479847
 11533 | 558 |       1 | 2017-05-29 21:23:19.135866 |                            | 
 11532 | 558 |       1 | 2017-05-29 18:26:26.191801 | 2017-05-29 21:19:29.828434 | 02:53:03.636633
 11531 | 558 |       1 | 2017-05-29 13:54:58.7279   | 2017-05-29 18:16:31.635672 | 04:21:32.907772
 11530 | 558 |       1 |                            |                            | 
 11529 | 558 |       1 | 2017-05-29 06:49:19.112483 | 2017-05-29 13:49:34.122604 | 07:00:15.010121
 11528 | 558 |       1 | 2017-05-29 05:20:00.543975 | 2017-05-29 06:45:09.287307 | 01:25:08.743332
 11527 | 558 |       1 | 2017-05-29 01:40:27.487765 | 2017-05-29 05:17:15.214659 | 03:36:47.726894
 11526 | 558 |       1 | 2017-05-29 01:10:39.848054 | 2017-05-29 01:36:44.933454 | 00:26:05.0854
 11525 | 558 |       1 | 2017-05-29 00:43:31.827435 | 2017-05-29 01:06:53.272771 | 00:23:21.445336
 11524 | 558 |       1 | 2017-05-28 18:06:55.749713 | 2017-05-29 00:40:08.726329 | 06:33:12.976616
 11523 | 558 |       1 |                            |                            | 
 11522 | 558 |       1 | 2017-05-28 18:00:30.231633 |                            | 
 11521 | 558 |       1 | 2017-05-28 14:18:56.598157 | 2017-05-28 17:57:50.007035 | 03:38:53.408878
 11520 | 558 |       1 | 2017-05-28 08:03:43.269287 | 2017-05-28 14:15:22.66801  | 06:11:39.398723
 11519 | 558 |       1 | 2017-05-28 01:00:34.946998 | 2017-05-28 08:00:50.060316 | 07:00:15.113318
 11518 | 558 |       1 | 2017-05-27 21:54:55.349791 | 2017-05-28 00:57:09.790096 | 03:02:14.440305
 11517 | 558 |       1 | 2017-05-27 21:45:54.602969 |                            | 
 11516 | 558 |       1 | 2017-05-27 21:39:26.032521 |                            | 
 11515 | 558 |       1 | 2017-05-27 20:19:21.174959 | 2017-05-27 21:32:55.572019 | 01:13:34.39706
 11514 | 558 |       1 | 2017-05-27 19:22:20.524817 | 2017-05-27 20:15:46.513713 | 00:53:25.988896
 11513 | 558 |       1 |                            |                            | 
 11512 | 558 |       1 | 2017-05-27 16:26:04.286236 | 2017-05-27 19:17:17.953276 | 02:51:13.66704
 11511 | 558 |       1 | 2017-05-27 16:20:26.414601 |                            | 
 11510 | 558 |       1 | 2017-05-27 15:01:20.290675 | 2017-05-27 16:16:47.696616 | 01:15:27.405941
 11509 | 558 |       1 | 2017-05-27 10:53:16.124213 | 2017-05-27 14:58:02.203197 | 04:04:46.078984
 11508 | 558 |       1 | 2017-05-27 03:49:53.227512 | 2017-05-27 10:50:10.25905  | 07:00:17.031538
 11507 | 558 |       1 | 2017-05-27 00:06:48.504681 | 2017-05-27 03:46:03.503602 | 03:39:14.998921
 11506 | 558 |       1 | 2017-05-26 19:53:58.649504 | 2017-05-27 00:04:03.932958 | 04:10:05.283454
 11505 | 558 |       1 | 2017-05-26 15:56:02.511324 | 2017-05-26 19:49:53.637364 | 03:53:51.12604
 11504 | 558 |       1 | 2017-05-26 14:05:17.167066 | 2017-05-26 15:52:45.489321 | 01:47:28.322255
 11503 | 558 |       1 | 2017-05-26 13:13:29.171818 | 2017-05-26 14:01:21.106567 | 00:47:51.934749
 11502 | 558 |       1 | 2017-05-26 12:55:44.248124 | 2017-05-26 13:07:33.651638 | 00:11:49.403514
 11501 | 558 |       1 | 2017-05-26 11:20:28.282065 | 2017-05-26 12:52:20.194525 | 01:31:51.91246
 11500 | 558 |       1 | 2017-05-26 09:18:41.45318  | 2017-05-26 11:17:46.08759  | 01:59:04.63441
 11499 | 558 |       1 |                            |                            | 
 11498 | 558 |       1 | 2017-05-26 09:09:19.329454 | 2017-05-26 09:10:32.828452 | 00:01:13.498998
 11497 | 558 |       1 | 2017-05-26 08:54:43.596682 | 2017-05-26 09:05:51.406366 | 00:11:07.809684
 11496 | 558 |       1 |                            |                            | 
 11495 | 558 |       1 | 2017-05-26 07:25:38.756671 | 2017-05-26 08:48:29.444165 | 01:22:50.687494
 11494 | 558 |       1 | 2017-05-26 00:52:48.142728 | 2017-05-26 07:22:04.47251  | 06:29:16.329782
 11493 | 558 |       1 | 2017-05-25 23:34:55.113578 | 2017-05-26 00:50:00.691889 | 01:15:05.578311
 11492 | 558 |       1 | 2017-05-25 19:39:58.334938 | 2017-05-25 23:31:20.12998  | 03:51:21.795042
 11491 | 558 |       1 |                            |                            | 
 11490 | 558 |       1 |                            |                            | 
 11489 | 558 |       1 | 2017-05-25 18:46:42.678471 | 2017-05-25 18:56:55.531316 | 00:10:12.852845
 11488 | 476 |       1 | 2017-05-25 14:58:57.13885  | 2017-05-25 15:04:01.593506 | 00:05:04.454656
 11487 | 476 |       1 | 2017-05-25 14:51:06.890644 | 2017-05-25 14:54:54.781826 | 00:03:47.891182
 11486 | 476 |       1 | 2017-05-25 14:41:49.488799 | 2017-05-25 14:46:56.190025 | 00:05:06.701226
 11485 | 476 |       1 | 2017-05-25 14:29:47.760706 | 2017-05-25 14:34:53.876603 | 00:05:06.115897
 11484 | 476 |       1 | 2017-05-25 14:21:54.038652 | 2017-05-25 14:26:56.780919 | 00:05:02.742267
 11483 | 476 |       1 | 2017-05-25 14:13:34.496541 | 2017-05-25 14:18:40.796078 | 00:05:06.299537
 11482 | 476 |       1 | 2017-05-25 14:04:58.111665 | 2017-05-25 14:10:02.351796 | 00:05:04.240131
 11481 | 476 |       1 |                            |                            | 
 11480 | 476 |       1 | 2017-05-25 13:54:47.979588 | 2017-05-25 13:59:51.814643 | 00:05:03.835055
 11479 | 476 |       1 |                            |                            | 
 11478 | 476 |       1 | 2017-05-25 13:42:23.105578 | 2017-05-25 13:47:26.692887 | 00:05:03.587309
 11477 | 476 |       1 | 2017-05-25 13:14:18.070196 | 2017-05-25 13:19:24.420242 | 00:05:06.350046
 11476 | 601 |       1 | 2017-05-24 12:03:28.327336 | 2017-05-24 14:27:32.916346 | 02:24:04.58901
